ID,Title,total_fields,field_1_title,field_1_enabled,field_2_title,field_2_enabled,field_3_title,field_3_enabled,field_4_title,field_4_enabled,field_5_title,field_5_enabled,field_6_title,field_6_enabled,field_7_title,field_7_enabled,field_8_title,field_8_enabled
23194,GUIRNALDA DE BANDERINES CON FÚTBOL Y NOMBRE  DEL NIÑO,4,NOMBRE DEL NIÑO,on,FECHA DE LA COMUNIÓN,off,NOMBRE DE LA IGLESIA,off,LOCALIDAD,off,,,,,,,,
23196,GUIRNALDA DE BANDERINES CON NOMBRE Y CORONA DE FLORES,2,NOMBRE DE LA NIÑA   O NIÑO,on,FECHA DE LA COMUNIÓN,off,,,,,,,,,,,,
23211,GUIRNALDA DE BANDERINES EN FORMA DE PENDÓN CON NOMBRE Y CORONA DE FLORES,2,NOMBRE DE LA NIÑA   O NIÑO,on,FECHA DE LA COMUNIÓN,off,,,,,,,,,,,,
23313,LÁMINA DE HUELLAS CON BAILARINA,4,NOMBRE DE LA NIÑA,on,FECHA DEL BAUTIZO/COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD DEL BAUTIZO,off,,,,,,,,
23326,LÁMINA DE HUELLAS CON ELEFANTE,4,NOMBRE DE LA NIÑA,on,FECHA DEL BAUTIZO/COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LOCALIDAD DEL BAUTIZO,off,,,,,,,,
23329,INVITACIÓN DE COMUNIÓN  CON CORONA,5,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,NOMBRE RESTAURANTE O LUGAR DE CONVITE,on,,,,,,
23331,INVITACIÓN DE COMUNIÓN CON NIÑA Y CORONA,5,NOMBRE DE LA NIÑA,on,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,on,LOCALIDAD,on,NOMBRE DEL RESTAURANTE O LUGAR DE CONVITE,on,,,,,,
23453,LIBRO DE FIRMAS CON MARCO DE FLORES,5,NOMBRE DE LA NIÑA,on,APELLIDOS DE LA NIÑA,off,FECHA DE LA COMUNIÓN,off,NOMBRE DE LA IGLESIA,off,LUGAR DE LA COMUNIÓN,off,,,,,,
23482,LIBRO DE FIRMAS CORONA DE FLORES SILVESTRES,5,NOMBRE DE LA NIÑA,on,APELLIDOS DE LA NIÑA,off,FECHA DE LA COMUNIÓN,on,NOMBRE DE LA IGLESIA,off,LUGAR DE LA COMUNIÓN,off,,,,,,
23497,LIBRO DE FIRMAS CON CORONA  AZUL Y VERDE,5,NOMBRE DE LA NIÑA/O,on,APELLIDOS DE LA NIÑA,off,FECHA DE LA COMUNIÓN,off,NOMBRE DE LA IGLESIA,off,OBSERVACIONES SOBRE EL PEDIDO,on,,,,,,
